e ɪ̯	A
b æ k j ɑː d	b a c k y a r d
b e ɪ k ə n	b a c n
b e ɪ k ə n	b a c o n
b e ɪ k ə n i	b a c o n y
b a k t ɪ ə r i ə	b a c t e r i a
b æ k t ɪ ə ɹ ɪ s a ɪ d	b a c t e r i c i d e
b æ k t ə ɹ ɪ n	b a c t e r i n
b æ k t ɪ ə ɹ i ɒ l ə d ʒ ɪ s t	b a c t e r i o l o g i s t
b æ k t ɪ ə ɹ ɪ ɒ l ə d͡ʒ i	b a c t e r i o l o g y
b æ k t ɪ ə ɹ ɪ ə ʊ f e ɪ d͡ʒ	b a c t e r i o p h a g e
b æ k t ɪ ə ɹ ɪ ə ʊ f ə ʊ b ɪ ə	b a c t e r i o p h o b i a
b æ k t ɪ ə ɹ ɪ ɒ s k ə p i	b a c t e r i o s c o p y
b æ k t ɪ ə ɹ ɪ ə ʊ s ɪ s	b a c t e r i o s i s
b æ k t ɪ ə ɹ ɪ ə ʊ s t e ɪ s ɪ s	b a c t e r i o s t a s i s
b æ k t ɪ ə ɹ ɪ ə ʊ θ e ɹ ə p i	b a c t e r i o t h e r a p y
b æ k t ɪ ə ɹ ɪ ə ʊ t ɒ k s ɪ n	b a c t e r i o t o x i n
b æ k t ɪ ə ɹ ɪ ə m	b a c t e r i u m
b æ k j uː l	b a c u l e
b æ k j ʊ l ə v a ɪ ɹ ə l	b a c u l o v i r a l
b æ k j ə l ə m	b a c u l u m
b æ d	b a d
b æ d æ s	b a d a s s
b æ d ə ɹ	b a d d e r
b æ d i	b a d d i e
b e ɪ d	b a d e
b æ d	b a d e
b a d l ɪ ŋ	b a d e l y n g e
b æ d͡ʒ	b a d g e
b æ d͡ʒ ə	b a d g e r
b ə d ɪ d ʒ ə n	b a d i g e o n
b æ d ɪ n ɑː d ʒ	b a d i n a g e
b æ d ɪ n ɑː ʒ	b a d i n a g e
b ə d iː n	b a d i n e
b æ d ɪ n ɹ i	b a d i n e r i e
b æ d l æ n d z	b a d l a n d s
b æ d l i	b a d l y
b ʌ d m ɑː ʃ	b a d m a s h
b æ d m ɪ n t ə n	b a d m i n t o n
b æ d m a ʊ θ	b a d m o u t h
b æ d n ə s	b a d n e s s
b ə d ɔ ŋ k ə d ɔ ŋ k	b a d o n k a d o n k
b e ɪ	b a e
b iː n ə p ɒ d	b a e n o p o d
b iː t a ɪ ɫ	b a e t y l
b æ f	b a f f
b æ f i	b a f f i e
b æ f l̩	b a f f l e
b æ f l̩ d	b a f f l e d
b æ f ə ɫ ɡ æ b	b a f f l e g a b
b a f ə l m ə n t	b a f f l e m e n t
b æ f a ʊ n d	b a f f o u n d
b æ f t ə	b a f t a
b e ɪ ɡ	b a g
b æ ɡ	b a g
b æː ɡ	b a g
b ɛ ɡ	b a g
b ə ɡ æ s	b a g a s s e
b æ ɡ ə t ɛ l	b a g a t e l l e
b æ ɡ ə t ɛ l a ɪ z	b a g a t e l l i z e
b e ɪ ɡ ə l	b a g e l
b e ɪ ɡ ə l z	b a g e l s
b æ ɡ ɪ d͡ʒ	b a g g a g e
b æ ɡ d	b a g g e d
b æ ɡ ə	b a g g e r
b æ ɡ i	b a g g i e
b æ ɡ i z	b a g g i e s
b æ ɡ ɪ ŋ	b a g g i n g
b æ ɡ ɪ ŋ z	b a g g i n g s
b æ ɡ i	b a g g y
b æ n ɪ ɔ	b a g n i o
b æ ɡ p a ɪ p	b a g p i p e
b æ ɡ p ɑ ɪ p s	b a g p i p e s
b æ ɡ ɛ t	b a g u e t t e
b æ ɡ ɛ t s	b a g u e t t e s
b æ ɡ w ɜː ɹ m	b a g w o r m
b æ ɡ w ɪ n	b a g w y n
b æ	b a h
b ɑː	b a h
b ɑː t	b a h t
b ə h uː t	b a h u t
b ə h ʊ t	b a h u t
b a h uː v ɹ iː h i	b a h u v r i h i
b ɛ n w ɑː ɹ	b a i g n o i r e
b a ɪ d͡ʒ i	b a i j i
b a ɪ d͡ʒ uː	b a i j i u
b e ɪ ə l	b a i l
b a ɪ l i	b a i l e
b e ɪ l	b a i l e
b e ɪ l d	b a i l e d
b e ɪ l i	b a i l e y
b e ɪ l ɪ f	b a i l i f f
b e ɪ l ɪ f s	b a i l i f f s
b e ɪ l ɪ ŋ	b a i l i n g
b e ɪ l ɪ ŋ z	b a i l i n g s
b e ɪ l ɪ w ɪ k	b a i l i w i c k
b e ɪ l i	b a i l l i e
b e ɪ l z	b a i l s
b e ɪ n	b a i n
b ɑː n iː n	b a i n i n
b aː n	b a i r n
b ɛ ə n	b a i r n
b ɛ ə ɹ n	b a i r n
b ɛː n	b a i r n
b e ɪ t	b a i t
b e ɪ t ɪ d	b a i t e d
b e ɪ t ɪ ŋ	b a i t i n g
b e ɪ t ɪ ŋ z	b a i t i n g s
b e ɪ t s	b a i t s
b e ɪ t i	b a i t y
b e ɪ z	b a i z e
b ɑ d͡ʒ a ɪ	b a j a j
b ə d͡ʒ ɪ l j ə n	b a j i l l i o n
b ɑː k ə	b a k a
b ə k ɔː	b a k a w
b e ɪ k	b a k e
b e ɪ k t	b a k e d
b e ɪ k h a ʊ s	b a k e h o u s e
b e ɪ k m iː t	b a k e m e a t
b e ɪ k ə ɹ	b a k e r
b e ɪ k ə ɹ i	b a k e r y
b e ɪ k ɹ i	b a k e r y
b e ɪ k s	b a k e s
b æ k f iː t s	b a k f i e t s
b æ k f iː t s ə n	b a k f i e t s
b æ k f iː t s ə n	b a k f i e t s e n
b e ɪ k ɪ ŋ ɡ	b a k i n g
b æ k i	b a k k i e
b æ k l ə v ə	b a k l a v a
b ɑ k l ə v ɑː	b a k l a v a
b ɑ k l ə v ə	b a k l a v a
b ə k l ɑː v ə	b a k l a v a
b æ k ʃ iː ʃ	b a k s h e e s h
b æ l ə k l ɑː v ə	b a l a c l a v a
b ɑː l ə k l ɑː v ə	b a l a c l a v a
b æ l ə l a ɪ k ə	b a l a l a i k a
b a l ə l a ɪ k i	b a l a l a i k i
b æ l ə l a ɪ k ɪ	b a l a l a i k i
b æ l ə n s	b a l a n c e
b æ l ə n s t	b a l a n c e d
b æ l ə n s ɛ l	b a l a n c e l l e
b æ l ə n s ɚ	b a l a n c e r
b æ l ə n iː f ə ɡ ə s	b a l a n e p h a g o u s
b ə l æ n ɪ k	b a l a n i c
b æ l ə n a ɪ t ɪ s	b a l a n i t i s
b æ l ə n ɒ f ə ɡ ə s	b a l a n o p h a g o u s
b a l ə s	b a l a s
b æ l b ə l	b a l b a l
b æ l b ə ʊ ə	b a l b o a
b æ l b ɹ ɪ ɡ n̩	b a l b r i g g a n
b æ l b j uː t i iː z	b a l b u t i e s
b æ l b j uː ʃ i iː z	b a l b u t i e s
b æ l k ə n ɪ k	b a l c o n i c
b æ l k ə n i	b a l c o n y
b æ l k ə ʊ n i	b a l c o n y
b æ l k ə n i l a ɪ k	b a l c o n y l i k e
b ɔː l d	b a l d
b ə ʊ l d	b a l d
b a l d ə k ɪ n	b a l d a c c h i n
b ɔː l d ə d æ ʃ	b a l d e r d a s h
b ɔː l d ɪ k uː t	b a l d i c o o t
b ɔː l d m ʌ n i	b a l d m o n e y
b ɔː l d ɹ ɪ k	b a l d r i c
b ɔː l d i	b a l d y
b e ɪ̯ l	b a l e
b ɑː l ə b ɒ s	b a l e b o s
b ɑː l ə b ɔ s	b a l e b o s
b ɑː l ə b ʌ s	b a l e b o s
b ɑː l ə b ɒ s t ə	b a l e b o s t e
b ɑː l ə b ɔ s t ə	b a l e b o s t e
b ɑː l ə b ʌ s t ə	b a l e b o s t e
b e ɪ l d	b a l e d
b e ɪ l iː n	b a l e e n
b ə l iː n	b a l e e n
b e ɪ l f ə l	b a l e f u l
b e ɪ l l ə s	b a l e l e s s
b e ɪ l z	b a l e s
b e ɪ l ɪ ŋ	b a l i n g
b ə l iː z	b a l i s e
b ɔː k	b a l k
b ɔː l k	b a l k
b ɔː l	b a l l
b æ l ə d	b a l l a d
b æ l ə d ɹ i	b a l l a d r y
b æ l ə s t	b a l l a s t
b ɔː l k ɒ k	b a l l c o c k
b ɔː l ɚ	b a l l e r
b æ l ə ɹ iː n ə	b a l l e r i n a
b æ l ə ɹ iː n o ʊ	b a l l e r i n o
b a l e ɪ	b a l l e t
b a l ɪ	b a l l e t
b æ l ɛ t ɪ k	b a l l e t i c
b ə l ɛ t ɪ k	b a l l e t i c
b ɔː l ɡ a ʊ n	b a l l g o w n
b ə l ɪ s t ə	b a l l i s t a
b ə l ɪ s t ɪ k	b a l l i s t i c
b ə l ɪ s t ɪ k s	b a l l i s t i c s
b æ l ə s t a ɪ t	b a l l i s t i t e
b ə l ɒ n	b a l l o n
b a l ə n ɛ t	b a l l o n e t
b ə l uː n	b a l l o o n
b ə l uː n d	b a l l o o n e d
b ə l uː n ɚ	b a l l o o n e r
b ə l uː n ɪ ŋ	b a l l o o n i n g
b ə l uː n ɪ ŋ z	b a l l o o n i n g s
b ə l uː n z	b a l l o o n s
b æ l ə t	b a l l o t
b æ l ə ʊ	b a l l o w
b ɔː l ɹ uː m	b a l l r o o m
b ɔː l ɹ ʊ m	b a l l r o o m
b ɔː l z	b a l l s
b ɔː l s æ k	b a l l s a c k
b ɔ l z i	b a l l s y
b ə l uː t	b a l l u t e
b æ l i	b a l l y
b æ l i h uː	b a l l y h o o
b ɑː m	b a l m
b ɑː m ɪ l i	b a l m i l y
b ɑː m i	b a l m y
b ə l ə ʊ n i	b a l o n e y
b a l ɹ ɒ ɡ	b a l r o g
b ɔː l ɹ ɒ ɡ	b a l r o g
b æ l s ə	b a l s a
b ɔː l s ə	b a l s a
b ɔː l s ə m	b a l s a m
b ɔː l s æ m ɪ k	b a l s a m i c
b ɔː l s ə m ə s	b a l s a m o u s
b ɑ l s ə m iː	b a l s a m y
b ɔː l t i	b a l t i
b ə l uː b ə	b a l u b a
b æ l ə s t ɹ e ɪ d	b a l u s t r a d e
b æ m	b a m
b æ m b ə t͡ʃ æ n t i	b a m b o c c i a n t e
b a m b u	b a m b o o
b æ m b u	b a m b o o
b æ m b uː i	b a m b o o e y
b æ m b uː z l̩	b a m b o o z l e
b æ m b j uː t ə ɹ ɒ l	b a m b u t e r o l
b æ m ə	b a m m a
b æ m ɚ	b a m m e r
b a m i	b a m m y
b æ m p	b a m p
b æ m p ɒ t	b a m p o t
b æ n	b a n
b e ɪ n ə l	b a n a l
b ə n æ l	b a n a l
b ə n ɑː l	b a n a l
b e ɪ n æ l ɪ t i	b a n a l i t y
b ə n æ l ɪ t i	b a n a l i t y
b ə n ɑː n ə	b a n a n a
b ə n ɑː n ə z	b a n a n a s
b ə n ɑː n ə ɹ i	b a n a n e r y
b ə n ɔː s ɪ k	b a n a u s i c
b æ ŋ k	b a n c
b ɑ n t͡ʃ ə	b a n c h a
b æ n d	b a n d
b æ n d ɪ d͡ʒ	b a n d a g e
b æ n d æ n ə	b a n d a n a
b a n d ə ʊ	b a n d e a u
b æ n d ə ʊ	b a n d e a u
b a n d ə ʊ	b a n d e a u x
b æ n d ə ʊ	b a n d e a u x
b æ n d ɪ d	b a n d e d
b æ n d ə ɹ iː j e ə ɹ ə ʊ	b a n d e r i l l e r o
b æ n d ɪ k uː t	b a n d i c o o t
b æ n d ɪ ŋ	b a n d i n g
b æ n d ɪ ŋ z	b a n d i n g s
b æ n d ɪ t	b a n d i t
b æ n d m e ɪ t	b a n d m a t e
b a n d ɒ ɡ	b a n d o g
b æ n d ə l e ə ɹ ə ʊ	b a n d o l e r o
b æ n d ə l ɪ ə	b a n d o l i e r
b æ n d ə l ɪ ə ɹ w a ɪ z	b a n d o l i e r w i s e
b æ n d z	b a n d s
b æ n d s t æ n d	b a n d s t a n d
b æ n d ʊ ə ɹ ə	b a n d u r a
b æ n d w æ ɡ ə n	b a n d w a g o n
b æ n d w ɪ d θ	b a n d w i d t h
b æ n d w ɪ t θ	b a n d w i d t h
b æ n d i	b a n d y
b e ɪ n	b a n e
b e ɪ n d	b a n e d
b e ɪ n z	b a n e s
b æ ŋ ɡ	b a n g
b æ ŋ ɡ ə b ə ɫ	b a n g a b l e
b æ ŋ ə ɹ æ ŋ	b a n g a r a n g
b æ ŋ ə ɹ	b a n g e r
b æ ŋ ɪ ŋ	b a n g i n g
b æ n d͡ʒ ɪ ɔ f a ɪ t	b a n g i o p h y t e
b æ ŋ ɡ ə l	b a n g l e
b æ ŋ ɡ z	b a n g s
b e ɪ n ɪ ŋ	b a n i n g
b æ n ɪ ʃ	b a n i s h
b æ n ɪ ʃ t	b a n i s h e d
b æ n ɪ ʃ ɪ z	b a n i s h e s
b æ n ɪ ʃ ɪ ŋ	b a n i s h i n g
b æ n ɪ ʃ ɪ ŋ z	b a n i s h i n g s
b æ n ɪ ʃ m ə n t	b a n i s h m e n t
b æ n ɪ s t ɚ	b a n i s t e r
b æ n d͡ʒ æ k s	b a n j a x
b æ n d͡ʒ ʌ n s e ɪ	b a n j e o n s e
p æ n t͡ʃ ʌ n s e ɪ	b a n j e o n s e
b æ n d ʒ ə ʊ	b a n j o
b æ n d͡ʒ ə ʊ j uː k	b a n j o u k e
b æ ŋ k	b a n k
b æ ŋ k b ʊ k	b a n k b o o k
b æ ŋ k k ɑ ɹ d	b a n k c a r d
b æ ŋ k k ɑ ɹ d z	b a n k c a r d s
b æ ŋ k ə ɹ	b a n k e r
b æ ŋ k ɪ ŋ	b a n k i n g
b æ ŋ k n ə ʊ t	b a n k n o t e
b æ ŋ k ɹ ə p t	b a n k r u p t
b æ ŋ k ɹ ʌ p t	b a n k r u p t
b æ ŋ k ɹ ʌ p t s i	b a n k r u p t c y
b æ ŋ k s	b a n k s
b æ ŋ k s h ɔː l	b a n k s h a l l
b æ ŋ k s ɪ ə	b a n k s i a
b æ ŋ k s t ə	b a n k s t e r
b æ n d	b a n n e d
b æ n ə	b a n n e r
b æ n ə ɹ ɛ t	b a n n e r e t
b æ n ə ɹ ɪ t	b a n n e r e t
b æ n ɪ ŋ	b a n n i n g
b æ n ɪ ŋ z	b a n n i n g s
b æ n ə k	b a n n o c k
b æ n z	b a n n s
b ə n ɒ f i	b a n o f f e e
b a ŋ k ɛ t	b a n q u e t t e
b æ n z	b a n s
b æ n ʃ iː	b a n s h e e
b æ n t ə m	b a n t a m
b æ n t ɛ ŋ	b a n t e n g
b ɑ n t ɛ ŋ	b a n t e n g
b æ n t ə	b a n t e r
b æ n t ə ɹ i	b a n t e r y
b a n t uː s t a n	b a n t u s t a n
b a n t uː s t ɑː n	b a n t u s t a n
b ɑː n j ə	b a n y a
b æ n j ə n	b a n y a n
b æ n z a ɪ	b a n z a i
b ɑː n z a ɪ	b a n z a i
b a ʊ	b a o
b e ɪ ə ʊ b a b	b a o b a b
b ɑ ʊ d z ə	b a o z i
b ɑ ʊ t s ə	b a o z i
b ɑ ʊ z i	b a o z i
b æ p	b a p
b æ p t ɪ z ə m	b a p t i s m
b æ p t ɪ s t	b a p t i s t
b æ p t ɪ z æ n d	b a p t i z a n d
b æ p t a ɪ z	b a p t i z e
b æ p t a ɪ z d	b a p t i z e d
b ɑː	b a r
b æ ɹ ə	b a r a
b ɑː ɹ ə	b a r a
b ɒ ɹ ə t s k	b a r a c k
b a ɹ ə θ ɹ ə m	b a r a t h r u m
b ɑː ɹ b	b a r b
b ɑː ɹ b ə k o ʊ ə	b a r b a c o a
b ɑː ɹ b ə l	b a r b a l
b ɑː b ə ɹ ə	b a r b a r a
b ɑː ɹ b ɛ ə ɹ i ə n	b a r b a r i a n
b ɑː ɹ b æ ɹ ɪ k	b a r b a r i c
b ɑː ɹ b ɛ ɹ ɪ k	b a r b a r i c
b ɑː ɹ b e ə ɹ ɪ ə s	b a r b a r i o u s
b ɑː ɹ b ə ɹ ɪ z ə m	b a r b a r i s m
b ɑː ɹ b æ ɹ ɪ t i	b a r b a r i t y
b ɑː ɹ b ə ɹ a ɪ z	b a r b a r i z e
b ɑː ɹ b ə ɹ ə s	b a r b a r o u s
b ɑː b ɪ k j uː	b a r b e c u e
b ɑː ɹ b d	b a r b e d
b ɑː b ə l	b a r b e l
b ɑː b ə	b a r b e r
b ɑ ɹ b ɛ ɹ i	b a r b e r r y
b ɑː b ɛ t	b a r b e t t e
b ɑː ɹ b ɪ k ə n	b a r b i c a n
b ɑː ɹ b i	b a r b i e
b ɑː b ɪ t ə l	b a r b i t a l
b ɑː b ɪ t ə n	b a r b i t o n
b ɑː b ɪ t ə s	b a r b i t o s
b ɑ ɹ b ɪ t j ʊ ə ɹ e ɪ t	b a r b i t u r a t e
b ɑ ɹ b ɪ t j ʊ ə ɹ ɪ t	b a r b i t u r a t e
b ɑː ɹ b ɪ t͡ʃ ə ɹ e ɪ t	b a r b i t u r a t e
b ɑː ɹ b ɪ t͡ʃ ə ɹ ɪ t	b a r b i t u r a t e
b ɑː b ə t	b a r b u t
b ɑː b j uː t	b a r b u t e
b ɑː k ə ɹ ə ʊ l	b a r c a r o l e
b ɑː ɹ k ɑː n	b a r c h a n
b ɑː ɹ k ə ʊ d	b a r c o d e
b ɑː d	b a r d
b ɑː ɹ d ɪ d	b a r d e d
b ɑː ɹ d ɪ k	b a r d i c
b ɑː ɹ d iː ʃ	b a r d i c h e
b ɑ ɹ d i	b a r d i e
b ɑː d ə ʊ	b a r d o
b ɑː d ɒ l ə t ə	b a r d o l a t o r
b ɑː ɹ d ɒ l ə t ɹ ə s	b a r d o l a t r o u s
b ɑː ɹ d ɒ l ə t ɹ ɪ i	b a r d o l a t r y
b ɑː d z	b a r d s
b ɛ ə ɹ	b a r e
b ɛː ɹ	b a r e
b ɛ ə b æ k	b a r e b a c k
b ɛ ə b ə ʊ	b a r e b o w
b e ə ɹ f e ɪ s t	b a r e f a c e d
b ɛ ə ɹ f æ s t	b a r e f a s t
b ɛ ə ɹ f ɑː s t	b a r e f a s t
b ɛ ə f ʊ t	b a r e f o o t
b ɛː ə f ʊ t ɪ d	b a r e f o o t e d
b ɛ ə ɹ h ɛ d ɪ d n ə s	b a r e h e a d e d n e s s
b ɛ ə ɹ l ɛ ɡ ɪ d n ə s	b a r e l e g g e d n e s s
b ɛ ə ɹ l i	b a r e l y
b ɛ ə z	b a r e s
b ɑː f	b a r f
b ɑː ɹ f a ɪ t	b a r f i g h t
b ɑː f l a ɪ	b a r f l y
b ɑː f s	b a r f s
b ɑː ɡ ə n	b a r g a i n
b ɑː d͡ʒ	b a r g e
b ɑː d͡ʒ d	b a r g e d
b ɑː ɹ d͡ʒ i	b a r g e e
b ɑː ɡ ɛ s t	b a r g h e s t
b ɑː ɹ ɡ ɜː ɹ l	b a r g i r l
b æ ɹ i	b a r i
b ɛ ə ɹ i ə	b a r i a
b æ ɹ i æ t ɹ ɪ k	b a r i a t r i c
b æ ɹ i ə t ɹ ɪ ʃ ə n	b a r i a t r i c i a n
b æ ɹ ɪ k	b a r i c
b ɛ ə ɹ ɪ k	b a r i c
b ɛ ə ɹ ɪ ŋ	b a r i n g
b æ ɹ i z	b a r i s
b æ ɹ ɪ s	b a r i s
b ə ɹ iː s t ə	b a r i s t a
b ə ɹ ɪ s t ə	b a r i s t a
b ə ɹ ɪ s t ə ʊ	b a r i s t o
b æ ɹ ɪ t ə ʊ n	b a r i t o n e
b ɑː ɹ ɪ t s uː	b a r i t s u
b ɛ ə ɹ ɪ ə m	b a r i u m
b ɑː k	b a r k
b ɑː ɹ k iː p	b a r k e e p
b ɑː ɹ k ə n	b a r k e n
b ɑː ɹ k ɚ	b a r k e r
b ɑː k ɪ ŋ	b a r k i n g
b ɑː k ə l d	b a r k l e d
b ɑː l i	b a r l e y
b ɑː ɹ l i k ɔː ɹ n	b a r l e y c o r n
b ɑː m	b a r m
b ɑː ɹ m e ɪ d	b a r m a i d
b ɑː m ə n	b a r m a n
b ɑː m i	b a r m y
b ɑː n ə k l̩	b a r n a c l e
b ɑː ɹ n ɪ t	b a r n e t
b ɑː n i	b a r n e y
b ɑː ɹ n a ɪ t	b a r n i g h t
b ɑː n s t ɔː m	b a r n s t o r m
b ə ɹ ɒ l ə d ʒ i	b a r o l o g y
b ə ɹ ɒ m ɪ t ə ɹ	b a r o m e t e r
b æ ɹ ə m ɛ t ɹ ɪ k	b a r o m e t r i c
b ə ɹ ɒ m e t ɹ i	b a r o m e t r y
b æ ɹ ə m ɛ t s	b a r o m e t z
b æ ɹ ə m ɛ z	b a r o m e z
b æ ɹ ə n	b a r o n
b æ ɹ ə n ɪ d͡ʒ	b a r o n a g e
b æ ɹ ə n ɛ s	b a r o n e s s
b æ ɹ ə n ɛ t	b a r o n e t
b ə ɹ ə ʊ n ɪ ə ɫ	b a r o n i a l
b ə ɹ ɒ n	b a r o n n e
b æ ɹ ə n i	b a r o n y
b æ ɹ ɒ k	b a r o q u e
b æ ɹ uː ʃ	b a r o u c h e
b ɑː k	b a r q u e
b ɑː ɹ k ɛ t	b a r q u e t t e
b æ ɹ ə k	b a r r a c k
b æ ɹ ə k s	b a r r a c k s
b æ ɹ ə k uː d ə	b a r r a c u d a
b æ ɹ ɑː ʒ	b a r r a g e
b æ ɹ ə m ʌ n d i	b a r r a m u n d i
b ə ɹ æ ŋ k ə	b a r r a n c a
b æ ɹ ə t ɚ	b a r r a t o r
b æ ɹ ə t ə ɹ z	b a r r a t o r s
b æ ɹ ə t ɹ i	b a r r a t r y
b ɑː ɹ d	b a r r e d
b æ ɹ ə l	b a r r e l
b æ ɹ ə n	b a r r e n
b ə ɹ ɛ t	b a r r e t t e
b æ ɹ ɪ k e ɪ d	b a r r i c a d e
b æ ɹ i ə ɹ	b a r r i e r
b ɑː ɹ ɪ ŋ ɡ	b a r r i n g
b æ ɹ ɪ s t ə ɹ	b a r r i s t e r
b æ ɹ ə ʊ	b a r r o w
b ɑː ɹ i	b a r r y
b ɑː ɹ z	b a r s
b ɑː s	b a r s e
b ɑː s a ɪ d	b a r s i d e
b ɑː t ɛ n d ə ɹ	b a r t e n d e r
b ɑː ɹ t ə ɹ	b a r t e r
b ɑː ɹ θ	b a r t h
b ɑː t ɪ z æ n	b a r t i s a n
b ɑː t ɪ z æ n	b a r t i z a n
b ɑː ɹ t ə n a ɪ t	b a r t o n i t e
b æ ɹ i ɒ n	b a r y o n
b ɛ ə ɹ i ɒ n	b a r y o n
b æ ɹ ɪ θ a ɪ m ɪ ə	b a r y t h y m i a
b ə ɹ ɪ t ɪ k	b a r y t i c
b æ ɹ ɪ t ɒ n	b a r y t o n
b æ ɹ ɪ t ə ʊ n	b a r y t o n e
b æ s ɒ l t	b a s a l t
b æ s ɔː l t	b a s a l t
b æ s ə l t	b a s a l t
b æ s ɪ n ɛ t	b a s c i n e t
b æ s k j uː l	b a s c u l e
b e ɪ s	b a s e
b e ɪ s b ɔː l	b a s e b a l l
b e ɪ s t	b a s e d
b e ɪ s e ɪ z	b a s e i s
b æ s ɪ l ɑː ɹ d	b a s e l a r d
b e ɪ s l ə s	b a s e l e s s
b e ɪ s l a ɪ n	b a s e l i n e
b e ɪ s l a ɪ n z	b a s e l i n e s
b e ɪ s m ə n t	b a s e m e n t
b e ɪ s m ə n t s	b a s e m e n t s
b e ɪ s n ə s	b a s e n e s s
b e ɪ s iː z	b a s e s
b æ ʃ	b a s h
b æ ʃ ə	b a s h a
b ə ʃ ɔː	b a s h a w
b æ ʃ t	b a s h e d
b æ ʃ ə	b a s h e r
b æ ʃ ɪ z	b a s h e s
b æ ʃ ɪ ŋ	b a s h i n g
b æ ʃ ɪ ŋ z	b a s h i n g s
b æ ʃ l ɪ k	b a s h l y k
b e ɪ s ɪ k	b a s i c
b e ɪ s ɪ k ə l i	b a s i c a l l y
b ə s ɪ d i ə ʊ m ə	b a s i d i o m a
b ə s ɪ d ɪ ə m	b a s i d i u m
b e ɪ s ɪ h a ɪ ə l	b a s i h y a l
b æ z ə l	b a s i l
b a s ɪ l ə	b a s i l a r
b ə s ɪ l ɪ ə n	b a s i l e a n
b e ɪ s ɪ l ɛ k t	b a s i l e c t
b æ s ɪ l ɛ k t	b a s i l e c t
b a s ɪ l e ɪ ɒ l ə t ɹ i	b a s i l e i o l a t r y
b a s ɪ l ɪ ɒ l ə t ɹ i	b a s i l e o l a t r y
b æ s ɪ l e ɪ ə s	b a s i l e u s
b æ s ɪ l ɪ k	b a s i l i c
b ə s ɪ l ɪ k	b a s i l i c
b ə s ɪ l ɪ k ə	b a s i l i c a
b æ s ɪ l ɪ s k	b a s i l i s k
b æ z ɪ l ɪ s k	b a s i l i s k
b a s ɪ l ɒ l ə t ɹ i	b a s i l o l a t r y
b e ɪ s ə n	b a s i n
b e ɪ s ɪ ŋ	b a s i n g
b e ɪ s ɪ n z	b a s i n s
b e ɪ s ɪ s	b a s i s
b ɑː s k	b a s k
b ɑː s k ɪ t	b a s k e t
b ɑː s k ɪ t b ɔː l	b a s k e t b a l l
b æ s k ə t w ɪ i v ɪ ŋ	b a s k e t w e a v i n g
b æ s k ɪ t w ɪ i v ɪ ŋ	b a s k e t w e a v i n g
b ɑː s k s	b a s k s
b æ s m ɑ l ə	b a s m a l a
b æ z m æ t i	b a s m a t i
b æ z m ɑː t i	b a s m a t i
b ɑː z m ɑː t i	b a s m a t i
b e ɪ s ə ʊ	b a s o
b e ɪ s ə f ɪ l	b a s o p h i l
b æ s k	b a s q u e
b ɑː s k	b a s q u e
b e ɪ s	b a s s
b æ s	b a s s
b æ s ə n ɛ l ə ʊ	b a s s a n e l l o
b æ s ɪ t	b a s s e t
b æ s ɪ n ɛ t	b a s s i n e t
b e ɪ s ɪ s t	b a s s i s t
b æ s l ə t	b a s s l e t
b e ɪ s l a ɪ n	b a s s l i n e
b e ɪ s l a ɪ n z	b a s s l i n e s
b ə s uː n	b a s s o o n
b ə s uː n d	b a s s o o n e d
b ə s uː n ɚ	b a s s o o n e r
b ə s uː n ɪ ŋ	b a s s o o n i n g
b ə s uː n z	b a s s o o n s
b æ s w ʊ d	b a s s w o o d
b ɑː s t	b a s t
b ɑ s t ɑ	b a s t a
b ɑː s t ə d	b a s t a r d
b æ s t ə ɹ d a ɪ z	b a s t a r d i s e
b ɑː s t ə ɹ d a ɪ z	b a s t a r d i s e
b æ s t ə ɹ d i	b a s t a r d y
b ɑː s t ə ɹ d i	b a s t a r d y
b e ɪ s t	b a s t e
b e ɪ s t ɪ d	b a s t e d
b e ɪ s t ə	b a s t e r
b e ɪ s t ə z	b a s t e r s
b e ɪ s t s	b a s t e s
b ʌ s t iː	b a s t i
b æ s t iː l	b a s t i l l e
b æ s t ɪ l	b a s t i l l e
b e ɪ s t ɪ ŋ z	b a s t i n g s
b æ s t i ə n	b a s t i o n
b æ s t ə ʊ	b a s t o
b æ s t ə n	b a s t o n
b æ s ɪ l ə s	b a s y l o u s
b æ t	b a t
b æ t ɑː d	b a t a r d
b æ t͡ʃ	b a t c h
b æ t͡ʃ t	b a t c h e d
b æ t͡ʃ ə	b a t c h e r
b æ t͡ʃ ɪ z	b a t c h e s
b æ t͡ʃ ɪ ŋ	b a t c h i n g
b æ t d ə m	b a t d o m
b e ɪ t	b a t e
b æ t ə ʊ	b a t e a u
b e ɪ t ɪ d	b a t e d
b æ t ə l ɜː	b a t e l e u r
b e ɪ t s	b a t e s
b æ θ	b a t h
b ɑː θ	b a t h
b e ɪ ð	b a t h e
b e ɪ ð d	b a t h e d
b æ θ t	b a t h e d
b ɑː θ t	b a t h e d
b e ɪ ð ə ɹ	b a t h e r
b e ɪ ð z	b a t h e s
b ə θ ɛ t ɪ k	b a t h e t i c
b æ θ ɪ n ɛ t	b a t h i n e t t e
b e ɪ ð ɪ ŋ ɡ	b a t h i n g
b æ θ ɪ ŋ	b a t h i n g
b æ θ ə f ə ʊ b i ə	b a t h o p h o b i a
b e ɪ θ ɒ s	b a t h o s
b ɑː θ ɹ ə ʊ b	b a t h r o b e
b æ θ ɹ uː m	b a t h r o o m
